Üretici,ÜreticiKodu,Açıklama,ÇalışmaSıcaklığı,Ref_SicaklıkDeğeri,Ref_SicaklıkDirençDeğeri,Ref_HataPayı,B_HataPayı,B0_50,B25_50,B25_75,B25_85,B25_100,Pdf
Vishay BC Components,NTCS0603E3222FMT,THERM NTC 2.2KOHM 3520K 0603,-40°C ~ 150°C,25,2.2k,±1%,±1%,,,,3520K,,http://www.vishay.com/docs/29056/ntcs0603e3t.pdf
Vishay BC Components,NTCS0603E3222FMT,THERM NTC 2.2KOHM 3520K 0603,-40°C ~ 150°C,25,2.2k,±1%,±1%,,,,3520K,,http://www.vishay.com/docs/29056/ntcs0603e3t.pdf
Vishay BC Components,NTCS0603E3222FMT,THERM NTC 2.2KOHM 3520K 0603,-40°C ~ 150°C,25,2.2k,±1%,±1%,,,,3520K,,http://www.vishay.com/docs/29056/ntcs0603e3t.pdf
Vishay BC Components,NTCS0603E3104FXT,THERM NTC 100KOHM 4100K 0603,-40°C ~ 150°C,25,100k,±1%,±1%,,,,4100K,,http://www.vishay.com/docs/29056/ntcs0603e3t.pdf
Vishay BC Components,NTCS0603E3104FXT,THERM NTC 100KOHM 4100K 0603,-40°C ~ 150°C,25,100k,±1%,±1%,,,,4100K,,http://www.vishay.com/docs/29056/ntcs0603e3t.pdf
Vishay BC Components,NTCS0603E3104FXT,THERM NTC 100KOHM 4100K 0603,-40°C ~ 150°C,25,100k,±1%,±1%,,,,4100K,,http://www.vishay.com/docs/29056/ntcs0603e3t.pdf
Vishay BC Components,NTCS0805E3103FLT,THERMISTOR NTC 10KOHM 3430K 0805,-40°C ~ 150°C,25,10k,±1%,±3%,,,,3430K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
Vishay BC Components,NTCS0805E3103FLT,THERMISTOR NTC 10KOHM 3430K 0805,-40°C ~ 150°C,25,10k,±1%,±3%,,,,3430K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
Vishay BC Components,NTCS0805E3103FLT,THERMISTOR NTC 10KOHM 3430K 0805,-40°C ~ 150°C,25,10k,±1%,±3%,,,,3430K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
Vishay BC Components,NTCS0805E3104FXT,THERM NTC 100KOHM 4100K 0805,-40°C ~ 150°C,25,100k,±1%,±1%,,,,4100K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
Vishay BC Components,NTCS0805E3104FXT,THERM NTC 100KOHM 4100K 0805,-40°C ~ 150°C,25,100k,±1%,±1%,,,,4100K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
Vishay BC Components,NTCS0805E3104FXT,THERM NTC 100KOHM 4100K 0805,-40°C ~ 150°C,25,100k,±1%,±1%,,,,4100K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
TDK Electronics Inc.,B57863S0103F040,THERMISTOR NTC 10KOHM 3988K BEAD,-55°C ~ 155°C,25,10k,±1%,-,,,,,3988K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Mini_sensors_S863.pdf
TDK Electronics Inc.,B57703M0103G040,THERM NTC 10KOHM 3988K RING LUG,-55°C ~ 155°C,25,10k,±2%,±1%,,,,,3988K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Probe_ass_M703.pdf
Panasonic Electronic Components,ERT-JZEG103FA,MULTILAYER NTC CHIP THERMISTOR,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf
Panasonic Electronic Components,ERT-JZEG103FA,MULTILAYER NTC CHIP THERMISTOR,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf
Panasonic Electronic Components,ERT-JZEG103FA,MULTILAYER NTC CHIP THERMISTOR,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf
Panasonic Electronic Components,ERT-J0ER103J,THERMISTOR NTC 10KOHM 4250K 0402,-40°C ~ 125°C,25,10k,±5%,±2%,,4250K,,4300K,,https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf
Panasonic Electronic Components,ERT-J0ER103J,THERMISTOR NTC 10KOHM 4250K 0402,-40°C ~ 125°C,25,10k,±5%,±2%,,4250K,,4300K,,https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf
Panasonic Electronic Components,ERT-J0ER103J,THERMISTOR NTC 10KOHM 4250K 0402,-40°C ~ 125°C,25,10k,±5%,±2%,,4250K,,4300K,,https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf
TDK Corporation,NTCG103JF103FT1,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG103JF103FT1,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG103JF103FT1,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG064EF104FTBX,THERM NTC 100KOHM 4550K 0201,-40°C ~ 125°C,25,100k,±1%,±1%,,,,4550K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG064EF104FTBX,THERM NTC 100KOHM 4550K 0201,-40°C ~ 125°C,25,100k,±1%,±1%,,,,4550K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG064EF104FTBX,THERM NTC 100KOHM 4550K 0201,-40°C ~ 125°C,25,100k,±1%,±1%,,,,4550K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
Murata Electronics,NCP15XH103J03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNTCforTempeSenso&amp;partno=NCP15XH103J03RC
Murata Electronics,NCP15XH103J03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNTCforTempeSenso&amp;partno=NCP15XH103J03RC
Murata Electronics,NCP15XH103J03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNTCforTempeSenso&amp;partno=NCP15XH103J03RC
Murata Electronics,NCU18XH103F60RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/thermistor/r03e.ashx?la=en-us
Murata Electronics,NCU18XH103F60RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/thermistor/r03e.ashx?la=en-us
Murata Electronics,NCU18XH103F60RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/thermistor/r03e.ashx?la=en-us
Murata Electronics,NCP15XH103F03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=&amp;partno=NCP15XH103F03RC
Murata Electronics,NCP15XH103F03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=&amp;partno=NCP15XH103F03RC
Murata Electronics,NCP15XH103F03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=&amp;partno=NCP15XH103F03RC
Murata Electronics,NCP15WB473F03RC,THERMISTOR NTC 47KOHM 4050K 0402,-40°C ~ 125°C,25,47k,±1%,±1%,,4050K,,4108K,4131K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP15WB473F03RC,THERMISTOR NTC 47KOHM 4050K 0402,-40°C ~ 125°C,25,47k,±1%,±1%,,4050K,,4108K,4131K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP15WB473F03RC,THERMISTOR NTC 47KOHM 4050K 0402,-40°C ~ 125°C,25,47k,±1%,±1%,,4050K,,4108K,4131K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Panasonic Electronic Components,ERT-J1VG103JA,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3435K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VG103JA+7+WW
Panasonic Electronic Components,ERT-J1VG103JA,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3435K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VG103JA+7+WW
Panasonic Electronic Components,ERT-J1VG103JA,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3435K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VG103JA+7+WW
Panasonic Electronic Components,ERT-J1VR103J,THERMISTOR NTC 10KOHM 4250K 0603,-40°C ~ 125°C,25,10k,±5%,±2%,,4250K,,4300K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VR103J+7+WW
Panasonic Electronic Components,ERT-J1VR103J,THERMISTOR NTC 10KOHM 4250K 0603,-40°C ~ 125°C,25,10k,±5%,±2%,,4250K,,4300K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VR103J+7+WW
Panasonic Electronic Components,ERT-J1VR103J,THERMISTOR NTC 10KOHM 4250K 0603,-40°C ~ 125°C,25,10k,±5%,±2%,,4250K,,4300K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VR103J+7+WW
Panasonic Electronic Components,ERT-J1VS104HA,THERM NTC 100KOHM 4330K 0603,-40°C ~ 125°C,25,100k,±3%,±3%,,4330K,,4390K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VS104HA+7+WW
Panasonic Electronic Components,ERT-J1VS104HA,THERM NTC 100KOHM 4330K 0603,-40°C ~ 125°C,25,100k,±3%,±3%,,4330K,,4390K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VS104HA+7+WW
Panasonic Electronic Components,ERT-J1VS104HA,THERM NTC 100KOHM 4330K 0603,-40°C ~ 125°C,25,100k,±3%,±3%,,4330K,,4390K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VS104HA+7+WW
Panasonic Electronic Components,ERT-J1VR103H,THERMISTOR NTC 10KOHM 4250K 0603,-40°C ~ 125°C,25,10k,±3%,±2%,,4250K,,4300K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VR103H+7+WW
Panasonic Electronic Components,ERT-J1VR103H,THERMISTOR NTC 10KOHM 4250K 0603,-40°C ~ 125°C,25,10k,±3%,±2%,,4250K,,4300K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VR103H+7+WW
Panasonic Electronic Components,ERT-J1VR103H,THERMISTOR NTC 10KOHM 4250K 0603,-40°C ~ 125°C,25,10k,±3%,±2%,,4250K,,4300K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VR103H+7+WW
Murata Electronics,NCP21XM221J03RA,THERMISTOR NTC 220OHM 3500K 0805,-40°C ~ 125°C,25,220,±5%,±3%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21XM221J03RA,THERMISTOR NTC 220OHM 3500K 0805,-40°C ~ 125°C,25,220,±5%,±3%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21XM221J03RA,THERMISTOR NTC 220OHM 3500K 0805,-40°C ~ 125°C,25,220,±5%,±3%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21XM472J03RA,THERM NTC 4.7KOHM 3500K 0805,-40°C ~ 125°C,25,4.7k,±5%,±3%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21XM472J03RA,THERM NTC 4.7KOHM 3500K 0805,-40°C ~ 125°C,25,4.7k,±5%,±3%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21XM472J03RA,THERM NTC 4.7KOHM 3500K 0805,-40°C ~ 125°C,25,4.7k,±5%,±3%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XH103J03RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XH103J03RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XH103J03RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±5%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XM472J03RB,THERM NTC 4.7KOHM 3500K 0603,-40°C ~ 125°C,25,4.7k,±5%,±2%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XM472J03RB,THERM NTC 4.7KOHM 3500K 0603,-40°C ~ 125°C,25,4.7k,±5%,±2%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XM472J03RB,THERM NTC 4.7KOHM 3500K 0603,-40°C ~ 125°C,25,4.7k,±5%,±2%,,3500K,,3545K,3560K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21WF104J03RA,THERM NTC 100KOHM 4250K 0805,-40°C ~ 125°C,25,100k,±5%,±3%,,4250K,,4311K,4334K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21WF104J03RA,THERM NTC 100KOHM 4250K 0805,-40°C ~ 125°C,25,100k,±5%,±3%,,4250K,,4311K,4334K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP21WF104J03RA,THERM NTC 100KOHM 4250K 0805,-40°C ~ 125°C,25,100k,±5%,±3%,,4250K,,4311K,4334K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XV103J03RB,THERMISTOR NTC 10KOHM 3900K 0603,-40°C ~ 125°C,25,10k,±5%,±3%,,3900K,,3934K,3944K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XV103J03RB,THERMISTOR NTC 10KOHM 3900K 0603,-40°C ~ 125°C,25,10k,±5%,±3%,,3900K,,3934K,3944K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XV103J03RB,THERMISTOR NTC 10KOHM 3900K 0603,-40°C ~ 125°C,25,10k,±5%,±3%,,3900K,,3934K,3944K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Panasonic Electronic Components,ERT-J1VG103FA,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VG103FA+7+WW
Panasonic Electronic Components,ERT-J1VG103FA,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VG103FA+7+WW
Panasonic Electronic Components,ERT-J1VG103FA,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AUA0001+ERTJ1VG103FA+7+WW
Murata Electronics,NCP03XH103F05RL,THERMISTOR NTC 10KOHM 3380K 0201,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP03XH103F05RL,THERMISTOR NTC 10KOHM 3380K 0201,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP03XH103F05RL,THERMISTOR NTC 10KOHM 3380K 0201,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XH103F03RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XH103F03RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP18XH103F03RB,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3434K,3455K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
TDK Corporation,NTCG163JF103FT1,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JF103FT1,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JF103FT1,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG164KF104FT1,THERM NTC 100KOHM 4419K 0603,-40°C ~ 125°C,25,100k,±1%,±3%,,4419K,,4485K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG164KF104FT1,THERM NTC 100KOHM 4419K 0603,-40°C ~ 125°C,25,100k,±1%,±3%,,4419K,,4485K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG164KF104FT1,THERM NTC 100KOHM 4419K 0603,-40°C ~ 125°C,25,100k,±1%,±3%,,4419K,,4485K,,https://product.tdk.com/info/en/catalog/datasheets/503021/tpd_commercial_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
Murata Electronics,NCP03WF104F05RL,THERM NTC 100KOHM 4250K 0201,-40°C ~ 125°C,25,100k,±1%,±1%,,4250K,,4311K,4334K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP03WF104F05RL,THERM NTC 100KOHM 4250K 0201,-40°C ~ 125°C,25,100k,±1%,±1%,,4250K,,4311K,4334K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
Murata Electronics,NCP03WF104F05RL,THERM NTC 100KOHM 4250K 0201,-40°C ~ 125°C,25,100k,±1%,±1%,,4250K,,4311K,4334K,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us
TDK Corporation,NTCG163JF103FTDS,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JF103FTDS,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JF103FTDS,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±1%,±1%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Electronics Inc.,B57332V5103F360,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 150°C,25,10k,±1%,±1%,,3380K,,3435K,3455K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_SMD_Automotive_series_0603.pdf
TDK Electronics Inc.,B57332V5103F360,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 150°C,25,10k,±1%,±1%,,3380K,,3435K,3455K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_SMD_Automotive_series_0603.pdf
TDK Electronics Inc.,B57332V5103F360,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 150°C,25,10k,±1%,±1%,,3380K,,3435K,3455K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_SMD_Automotive_series_0603.pdf
TDK Corporation,NTCG163JF103FT1S,THERMISTOR NTC 10KOHM 3435K 0603,-40°C ~ 150°C,25,10k,±1%,±1%,,,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JF103FT1S,THERMISTOR NTC 10KOHM 3435K 0603,-40°C ~ 150°C,25,10k,±1%,±1%,,,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JF103FT1S,THERMISTOR NTC 10KOHM 3435K 0603,-40°C ~ 150°C,25,10k,±1%,±1%,,,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
Murata Electronics,NCP15XH103D03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±0.5%,±0.7%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNTCforTempeSenso&amp;partno=NCP15XH103D03RC
Murata Electronics,NCP15XH103D03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±0.5%,±0.7%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNTCforTempeSenso&amp;partno=NCP15XH103D03RC
Murata Electronics,NCP15XH103D03RC,THERMISTOR NTC 10KOHM 3380K 0402,-40°C ~ 125°C,25,10k,±0.5%,±0.7%,,3380K,,3434K,3455K,https://www.murata.com/en-us/api/pdfdownloadapi?cate=luNTCforTempeSenso&amp;partno=NCP15XH103D03RC
TDK Corporation,NTCG163JX103DTDS,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±0.5%,±0.7%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JX103DTDS,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±0.5%,±0.7%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
TDK Corporation,NTCG163JX103DTDS,THERMISTOR NTC 10KOHM 3380K 0603,-40°C ~ 125°C,25,10k,±0.5%,±0.7%,,3380K,,3435K,,https://product.tdk.com/info/en/catalog/datasheets/503022/tpd_automotive_ntc-thermistor_ntcg_en.pdf?ref_disty=digikey
Vishay BC Components,NTCS0805E3103JMT,THERMISTOR NTC 10KOHM 3570K 0805,-40°C ~ 150°C,25,10k,±5%,±3%,,,,3570K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
Vishay BC Components,NTCS0805E3103JMT,THERMISTOR NTC 10KOHM 3570K 0805,-40°C ~ 150°C,25,10k,±5%,±3%,,,,3570K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
Vishay BC Components,NTCS0805E3103JMT,THERMISTOR NTC 10KOHM 3570K 0805,-40°C ~ 150°C,25,10k,±5%,±3%,,,,3570K,,http://www.vishay.com/docs/29044/ntcs0805e3t.pdf
